Field_ID,User_ID,User_Rating,Field_Name,Field_Rating,Field_Types
3,1839,4,Planet Futsal,4.4,Futsal
2,1416,4,Centro Futsal,4.2,Futsal
19,7921,5,Cililitan Badminton Hall,4.4,Badminton
2,1266,5,Centro Futsal,4.3,Futsal
14,6056,5,Kuningan Village Futsal Field 1,4.3,Futsal
3,1752,5,Planet Futsal,4.3,Futsal
14,5983,5,Kuningan Village Futsal Field 1,4.5,Futsal
12,5035,4,Futsal Court Cilandak Sport Centre,4.3,Futsal
13,5583,4,Pelangi Futsal,4.5,Futsal
18,7708,5,GOR Badminton Mega Kuningan,4.5,Badminton
18,7730,4,GOR Badminton Mega Kuningan,4.5,Badminton
1,253,5,Champion Futsal,4.5,Futsal
12,5066,4,Futsal Court Cilandak Sport Centre,4.3,Futsal
20,8720,5,Tunas Bugar Badminton Hall,4.6,Badminton
7,2835,5,Supreme Arena Badminton,4.6,Badminton
7,2839,5,Supreme Arena Badminton,4.3,Badminton
16,7077,5,Diaz Badminton Hall,4.5,Badminton
1,182,5,Champion Futsal,4.5,Futsal
1,491,5,Champion Futsal,4.5,Futsal
18,7756,4,GOR Badminton Mega Kuningan,4.5,Badminton
18,7754,4,GOR Badminton Mega Kuningan,4.3,Badminton
9,3145,5,Go All Futsal,4.5,Futsal
1,766,4,Champion Futsal,4.5,Futsal
12,4809,5,Futsal Court Cilandak Sport Centre,4.2,Futsal
19,8286,4,Cililitan Badminton Hall,4.5,Badminton
12,5216,4,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,4491,5,Futsal Court Cilandak Sport Centre,4.4,Futsal
17,7454,3,Lapangan Bulutangkis Talenta,4.5,Badminton
6,2638,5,Lapangan Bulu Tangkis Patra,4.3,Badminton
3,1827,4,Planet Futsal,4.3,Futsal
3,1867,4,Planet Futsal,4.2,Futsal
10,4149,2,AS FUTSAL,4.3,Futsal
14,5660,5,Kuningan Village Futsal Field 1,4.2,Futsal
5,2190,5,GOR Kurnia Badminton Court,4.2,Badminton
5,2357,4,GOR Kurnia Badminton Court,4.4,Badminton
2,1178,5,Centro Futsal,4.5,Futsal
18,7867,2,GOR Badminton Mega Kuningan,4.4,Badminton
2,918,5,Centro Futsal,4.4,Futsal
2,968,5,Centro Futsal,4.3,Futsal
20,8670,5,Tunas Bugar Badminton Hall,4.2,Badminton
10,4164,2,AS FUTSAL,4.4,Futsal
2,914,5,Centro Futsal,4.3,Futsal
20,8483,5,Tunas Bugar Badminton Hall,4.3,Badminton
14,6299,4,Kuningan Village Futsal Field 1,4.4,Futsal
17,7315,5,Lapangan Bulutangkis Talenta,4.5,Badminton
1,369,5,Champion Futsal,4.2,Futsal
10,4118,3,AS FUTSAL,4.3,Futsal
14,6538,4,Kuningan Village Futsal Field 1,4.3,Futsal
13,5606,3,Pelangi Futsal,4.2,Futsal
19,7971,5,Cililitan Badminton Hall,4.2,Badminton
19,8335,4,Cililitan Badminton Hall,4.3,Badminton
3,1751,5,Planet Futsal,4.5,Futsal
12,4732,5,Futsal Court Cilandak Sport Centre,4.2,Futsal
10,4081,3,AS FUTSAL,4.2,Futsal
19,8394,3,Cililitan Badminton Hall,4.5,Badminton
18,7534,5,GOR Badminton Mega Kuningan,4.4,Badminton
2,1438,4,Centro Futsal,4.4,Futsal
2,1466,4,Centro Futsal,4.5,Futsal
18,7823,4,GOR Badminton Mega Kuningan,4.4,Badminton
2,1375,4,Centro Futsal,4.3,Futsal
16,7095,5,Diaz Badminton Hall,4.5,Badminton
18,7599,5,GOR Badminton Mega Kuningan,4.3,Badminton
